congress,chamber,party_code,party_name,n_members,nominate_dim1_median,nominate_dim2_median,nominate_dim1_mean,nominate_dim2_mean
105,President,100,Democrat,1,-0.438,0.033,-0.438,0.033
105,Senate,100,Democrat,45,-0.308,-0.067,-0.310511111,-0.049622222
105,Senate,200,Republican,55,0.381,-0.181,0.3736727272727273,-0.177127273
106,President,100,Democrat,1,-0.438,0.033,-0.438,0.033
106,Senate,100,Democrat,46,-0.302,-0.0855,-0.29476087,-0.063173913
106,Senate,200,Republican,56,0.3735,-0.188,0.3637857142857143,-0.218142857
107,President,200,Republican,1,0.693,-0.539,0.693,-0.539
107,Senate,100,Democrat,50,-0.3065,-0.079,-0.2947,-0.04176
107,Senate,200,Republican,50,0.3815,-0.1295,0.36872000000000005,-0.19458
107,Senate,328,Independent,2,-0.277,-0.603,-0.277,-0.603
108,President,200,Republican,1,0.693,-0.539,0.693,-0.539
108,Senate,100,Democrat,48,-0.3085,-0.079,-0.291916667,-0.041145833
108,Senate,200,Republican,51,0.364,-0.128,0.3575098039215687,-0.189176471
108,Senate,328,Independent,1,-0.277,-0.603,-0.277,-0.603
109,President,200,Republican,1,0.693,-0.539,0.693,-0.539
109,Senate,100,Democrat,45,-0.326,-0.128,-0.307755556,-0.098977778
109,Senate,200,Republican,55,0.381,-0.121,0.3778727272727274,-0.164709091
109,Senate,328,Independent,1,-0.277,-0.603,-0.277,-0.603
110,President,200,Republican,1,0.693,-0.539,0.693,-0.539
110,Senate,100,Democrat,50,-0.3135,-0.1185,-0.29536,-0.08474
110,Senate,200,Republican,51,0.395,-0.11,0.3914117647058825,-0.142156863
110,Senate,328,Independent,1,-0.543,-0.419,-0.543,-0.419
111,President,100,Democrat,1,-0.358,-0.197,-0.358,-0.197
111,Senate,100,Democrat,66,-0.3165,-0.0915,-0.308969697,-0.071378788
111,Senate,200,Republican,44,0.3985,-0.068,0.3964772727272728,-0.119204545
111,Senate,328,Independent,1,-0.543,-0.419,-0.543,-0.419
112,President,100,Democrat,1,-0.358,-0.197,-0.358,-0.197
112,Senate,100,Democrat,53,-0.319,-0.116,-0.300867925,-0.070037736
112,Senate,200,Republican,48,0.4135,-0.068,0.4436250000000001,-0.084020833
112,Senate,328,Independent,1,-0.543,-0.419,-0.543,-0.419
113,President,100,Democrat,1,-0.358,-0.197,-0.358,-0.197
113,Senate,100,Democrat,57,-0.332,-0.121,-0.326824561,-0.079964912
113,Senate,200,Republican,46,0.4255,-0.0075,0.4698913043478261,-0.038304348
113,Senate,328,Independent,2,-0.354,-0.3045,-0.354,-0.3045
114,President,100,Democrat,1,-0.358,-0.197,-0.358,-0.197
114,Senate,100,Democrat,44,-0.3375,-0.1455,-0.334068182,-0.128431818
114,Senate,200,Republican,54,0.445,-0.032,0.4769629629629628,-0.048555556
114,Senate,328,Independent,2,-0.354,-0.3045,-0.354,-0.3045
115,President,200,Republican,1,0.403,0.162,0.403,0.162
115,Senate,100,Democrat,48,-0.3395,-0.1265,-0.335854167,-0.106729167
115,Senate,200,Republican,55,0.463,-0.029,0.4876,-0.028
115,Senate,328,Independent,2,-0.354,-0.3045,-0.354,-0.3045
116,President,200,Republican,1,0.403,0.162,0.403,0.162
116,Senate,100,Democrat,46,-0.3395,-0.1265,-0.342478261,-0.119869565
116,Senate,200,Republican,54,0.4645,-0.015,0.4986666666666666,0.026518518518518518
116,Senate,328,Independent,2,-0.354,-0.3045,-0.354,-0.3045
117,President,100,Democrat,1,-0.32,0.283,-0.32,0.283
117,President,200,Republican,1,0.403,0.162,0.403,0.162
117,Senate,100,Democrat,49,-0.348,-0.126,-0.347714286,-0.111755102
117,Senate,200,Republican,51,0.503,-0.019,0.5255490196078432,0.018450980392156854
117,Senate,328,Independent,2,-0.354,-0.3045,-0.354,-0.3045
118,Senate,100,Democrat,50,-0.3475,-0.132,-0.34762,-0.12148
118,Senate,200,Republican,49,0.536,0.002,0.5457551020408163,0.042387755102040826
118,Senate,328,Independent,4,-0.181,-0.3045,-0.24275,-0.2445
